,Tax Year,County,Municipality,Zip Code,Property Type,Property Count,Avg Land Value,Avg Bldg. Value,Avg Property Value,Prior Year Tax
1108,2019,BURLINGTON,EASTAMPTON TWP,08551,RESIDENTIAL,209,$46311.96,$131255.50,$177567.46,$5381.72
1109,2019,BURLINGTON,EDGEWATER PARK TWP, 08010,RESIDENTIAL,1692,$69603.49,$143732.86,$213316.31,$6271.31
1120,2019,BURLINGTON,EDGEWATER PARK TWP,07020,RESIDENTIAL,760,$35065.00,$91229.21,$126294.21,$3809.94
1121,2019,BURLINGTON,EVESHAM TWP, 08053,RESIDENTIAL,13515,$96558.36,$184047.90,$280606.27,$8103.76
1125,2019,BURLINGTON,EVESHAM TWP,08053,RESIDENTIAL,1928,$81767.79,$134671.78,$216439.57,$6281.31
1126,2019,BURLINGTON,FIELDSBORO BORO, 08505,RESIDENTIAL,159,$88284.91,$112835.85,$201120.75,$5776.74
1129,2019,BURLINGTON,FLORENCE TWP, 08016,RESIDENTIAL,168,$107160.12,$205876.79,$313036.90,$7909.58
1132,2019,BURLINGTON,FLORENCE TWP, 08505,RESIDENTIAL,903,$94661.02,$194668.00,$289329.01,$7297.32
1133,2019,BURLINGTON,FLORENCE TWP, 08518,RESIDENTIAL,965,$80668.19,$161397.93,$242066.11,$6107.43
1134,2019,BURLINGTON,FLORENCE TWP, 08554,RESIDENTIAL,1069,$66230.50,$118929.84,$185160.34,$4665.49
1135,2019,BURLINGTON,FLORENCE TWP,08518,RESIDENTIAL,1500,$63267.00,$111341.53,$174608.53,$4410.98
1138,2019,BURLINGTON,HAINESPORT TWP, 08036,RESIDENTIAL,1903,$65385.02,$222369.52,$287750.45,$6807.79
1143,2019,BURLINGTON,HAINESPORT TWP,08036,RESIDENTIAL,296,$60012.50,$154896.62,$214909.12,$5101.56
1149,2019,BURLINGTON,LUMBERTON TWP, 08048,RESIDENTIAL,3007,$83367.87,$229923.48,$313291.35,$7365.45
1159,2019,BURLINGTON,LUMBERTON TWP,08048,RESIDENTIAL,655,$58805.65,$178912.06,$237717.71,$5637.17
1161,2019,BURLINGTON,MANSFIELD TWP, 08022,RESIDENTIAL,2897,$84311.98,$169945.56,$254257.54,$7849.10
1165,2019,BURLINGTON,MANSFIELD TWP, 08505,RESIDENTIAL,153,$102043.14,$123786.27,$225829.41,$7032.24
1169,2019,BURLINGTON,MANSFIELD TWP,08022,RESIDENTIAL,374,$91790.37,$133613.64,$225404.01,$6778.81
1171,2019,BURLINGTON,MAPLE SHADE TWP, 08052,RESIDENTIAL,3318,$43598.61,$118889.84,$162488.45,$5518.85
1177,2019,BURLINGTON,MAPLE SHADE TWP,08052,RESIDENTIAL,674,$38227.15,$100733.53,$138960.68,$4740.63
1179,2019,BURLINGTON,MEDFORD LAKES BORO, 08055,RESIDENTIAL,1388,$101945.39,$186871.33,$288816.71,$9314.90
1182,2019,BURLINGTON,MEDFORD LAKES BORO,08055,RESIDENTIAL,150,$106249.33,$160174.67,$266424.00,$8655.72
1189,2019,BURLINGTON,MEDFORD TWP, 08055,RESIDENTIAL,6654,$92553.82,$247137.54,$339691.36,$10606.57
1192,2019,BURLINGTON,MEDFORD TWP,08055,RESIDENTIAL,950,$75981.79,$175999.05,$251980.84,$7891.77
1196,2019,BURLINGTON,MOORESTOWN TWP, 08057,RESIDENTIAL,5883,$176324.51,$295776.05,$470728.54,$12020.08
1201,2019,BURLINGTON,MOORESTOWN TWP,08057,RESIDENTIAL,844,$138087.80,$197311.14,$334628.91,$8576.04
1207,2019,BURLINGTON,MT HOLLY TWP, 08060,RESIDENTIAL,2167,$51914.12,$132924.23,$179550.53,$5236.16
1210,2019,BURLINGTON,MT HOLLY TWP,07423,RESIDENTIAL,771,$41469.00,$108704.28,$146903.24,$4307.66
1217,2019,BURLINGTON,MT LAUREL TWP, 08054,RESIDENTIAL,14034,$72722.87,$176254.88,$248977.75,$7100.76
1228,2019,BURLINGTON,MT LAUREL TWP,08332,RESIDENTIAL,2335,$47137.90,$120150.71,$167288.61,$4782.93
1229,2019,BURLINGTON,NEW HANOVER TWP, 08511,RESIDENTIAL,223,$39727.35,$144765.92,$184493.27,$4395.85
1237,2019,BURLINGTON,NO HANOVER TWP, 08562,RESIDENTIAL,545,$77551.56,$254965.87,$332517.43,$7029.14
1238,2019,BURLINGTON,NO HANOVER TWP,07981,RESIDENTIAL,302,$69711.59,$194247.02,$263958.61,$5565.77
1245,2019,BURLINGTON,PALMYRA BORO, 08065,RESIDENTIAL,2152,$53563.43,$98312.50,$151817.12,$5772.45
1254,2019,BURLINGTON,PALMYRA BORO,08065,RESIDENTIAL,581,$47373.67,$85211.53,$132585.20,$5047.78
1257,2019,BURLINGTON,PEMBERTON BORO, 08068,RESIDENTIAL,299,$27778.60,$177011.04,$204789.63,$3796.23
1260,2019,BURLINGTON,PEMBERTON BORO,08068,RESIDENTIAL,115,$22207.83,$120217.39,$142425.22,$2656.68
1262,2019,BURLINGTON,PEMBERTON TWP, 08015,RESIDENTIAL,4503,$39677.73,$128730.25,$168407.97,$3779.07
1265,2019,BURLINGTON,PEMBERTON TWP, 08068,RESIDENTIAL,876,$37001.48,$145847.83,$182849.32,$4105.71
1267,2019,BURLINGTON,PEMBERTON TWP,08068,RESIDENTIAL,2213,$37808.81,$108146.90,$145955.72,$3294.73
1275,2019,BURLINGTON,RIVERSIDE TWP, 08075,RESIDENTIAL,1589,$46604.15,$109948.08,$156552.23,$5776.58
1283,2019,BURLINGTON,RIVERSIDE TWP,08075,RESIDENTIAL,691,$41950.65,$99376.85,$141327.50,$5192.35
1285,2019,BURLINGTON,RIVERTON BORO, 08077,RESIDENTIAL,597,$98988.61,$149814.41,$248525.63,$8813.10
1286,2019,BURLINGTON,RIVERTON BORO,08077,RESIDENTIAL,135,$94822.96,$142304.44,$237082.22,$8389.00
1291,2019,BURLINGTON,SHAMONG TWP, 08088,RESIDENTIAL,1742,$110904.08,$200181.29,$311085.36,$8498.67
1295,2019,BURLINGTON,SHAMONG TWP,08088,RESIDENTIAL,188,$105996.81,$163943.62,$269940.43,$7423.45
1304,2019,BURLINGTON,SOUTHAMPTON TWP, 08088,RESIDENTIAL,3832,$64695.75,$126990.63,$191686.38,$5309.53
1306,2019,BURLINGTON,SOUTHAMPTON TWP,08088,RESIDENTIAL,564,$63409.93,$106468.44,$169878.37,$4742.64
1308,2019,BURLINGTON,SPRINGFIELD TWP, 08022,RESIDENTIAL,202,$104866.34,$235825.25,$340691.58,$10125.53
1309,2019,BURLINGTON,SPRINGFIELD TWP, 08041,RESIDENTIAL,176,$92571.59,$195221.59,$287793.18,$8506.62
1316,2019,BURLINGTON,SPRINGFIELD TWP,07081,RESIDENTIAL,357,$87374.23,$153181.51,$240555.74,$7132.54
1323,2019,BURLINGTON,TABERNACLE TWP, 08088,RESIDENTIAL,1875,$75374.13,$195627.95,$271002.08,$7789.18
1325,2019,BURLINGTON,TABERNACLE TWP,08088,RESIDENTIAL,341,$72142.82,$158554.55,$230697.36,$6674.97
1327,2019,BURLINGTON,WASHINGTON TWP, 08215,RESIDENTIAL,164,$95709.76,$141199.39,$236909.15,$3458.85
1329,2019,BURLINGTON,WASHINGTON TWP,07882,RESIDENTIAL,119,$90250.42,$128643.70,$218894.12,$3219.21
1337,2019,BURLINGTON,WESTAMPTON TWP, 08060,RESIDENTIAL,2555,$72710.10,$166177.42,$238887.51,$5654.54
1348,2019,BURLINGTON,WESTAMPTON TWP,07711,RESIDENTIAL,527,$89985.01,$165181.21,$255166.22,$6065.23
1357,2019,BURLINGTON,WILLINGBORO TWP, 08046,RESIDENTIAL,8679,$37138.35,$121774.33,$158880.01,$6171.65
1373,2019,BURLINGTON,WILLINGBORO TWP,08046,RESIDENTIAL,2008,$36247.51,$112741.93,$148973.26,$5797.26
1376,2019,BURLINGTON,WOODLAND TWP, 08019,RESIDENTIAL,170,$109362.35,$165745.29,$275107.65,$6252.55
1379,2019,BURLINGTON,WOODLAND TWP,07075,RESIDENTIAL,156,$101832.05,$121803.21,$223635.26,$5071.29
1388,2019,CAMDEN,AUDUBON BORO, 08106,RESIDENTIAL,1998,$91956.61,$110134.38,$202090.99,$7085.14
1390,2019,CAMDEN,AUDUBON BORO,08106,RESIDENTIAL,973,$90798.97,$111783.86,$202582.84,$7113.96
1394,2019,CAMDEN,BARRINGTON BORO, 08007,RESIDENTIAL,919,$53790.42,$121512.62,$175036.02,$7504.76
1397,2019,CAMDEN,BARRINGTON BORO, 08033,RESIDENTIAL,309,$82501.29,$170201.94,$252530.74,$10844.52
1402,2019,CAMDEN,BARRINGTON BORO,08007,RESIDENTIAL,292,$59300.34,$128721.58,$187895.21,$8075.40
1405,2019,CAMDEN,BELLMAWR BORO, 08031,RESIDENTIAL,2072,$51795.03,$116968.00,$168763.03,$6302.42
1407,2019,CAMDEN,BELLMAWR BORO,08031,RESIDENTIAL,542,$49543.36,$106381.00,$155924.35,$5820.43
1410,2019,CAMDEN,BERLIN BORO, 08009,RESIDENTIAL,2006,$64580.81,$178400.05,$242923.43,$7893.58
1412,2019,CAMDEN,BERLIN BORO,08009,RESIDENTIAL,527,$63345.73,$134794.88,$198093.17,$6461.84
1416,2019,CAMDEN,BERLIN TWP, 08091,RESIDENTIAL,1451,$44668.71,$143299.79,$187871.19,$6929.34
1417,2019,CAMDEN,BERLIN TWP,08009,RESIDENTIAL,347,$43986.46,$111674.35,$155531.12,$5654.83
1419,2019,CAMDEN,BROOKLAWN BORO, 08030,RESIDENTIAL,445,$20671.01,$88696.63,$109333.71,$4376.19
1422,2019,CAMDEN,BROOKLAWN BORO,08030,RESIDENTIAL,163,$20252.15,$85727.61,$105826.38,$4273.40
1432,2019,CAMDEN,CAMDEN CITY, 08102,RESIDENTIAL,745,$9116.78,$49599.73,$58304.03,$1720.47
1433,2019,CAMDEN,CAMDEN CITY, 08103,RESIDENTIAL,1776,$10125.25,$49007.18,$56916.50,$1656.46
1434,2019,CAMDEN,CAMDEN CITY, 08104,RESIDENTIAL,2719,$10171.79,$40116.40,$49999.23,$1486.78
1435,2019,CAMDEN,CAMDEN CITY, 08105,RESIDENTIAL,3771,$20508.70,$53984.51,$73815.96,$2201.90
1439,2019,CAMDEN,CAMDEN CITY, 08110,RESIDENTIAL,124,$24000.81,$59026.61,$82416.94,$2459.21
1441,2019,CAMDEN,CAMDEN CITY,08102,RESIDENTIAL,9478,$12238.76,$39702.22,$51407.09,$1546.44
1445,2019,CAMDEN,CHERRY HILL TWNSHP, 08002,RESIDENTIAL,5280,$52636.04,$142950.91,$194929.96,$7843.01
1446,2019,CAMDEN,CHERRY HILL TWNSHP, 08003,RESIDENTIAL,8563,$74611.57,$198572.16,$272376.16,$10982.34
1452,2019,CAMDEN,CHERRY HILL TWNSHP, 08034,RESIDENTIAL,4875,$61589.25,$148774.95,$209444.39,$8430.14
1458,2019,CAMDEN,CHERRY HILL TWNSHP,08002,RESIDENTIAL,4160,$50121.51,$133291.71,$182924.45,$7389.12
1461,2019,CAMDEN,CHESILHURST BORO, 08089,RESIDENTIAL,285,$37115.44,$130169.12,$167284.56,$5616.09
1463,2019,CAMDEN,CHESILHURST BORO,08089,RESIDENTIAL,157,$37604.46,$118869.43,$156473.89,$5343.66
1465,2019,CAMDEN,CLEMENTON BORO, 08021,RESIDENTIAL,1045,$33009.67,$92281.24,$122653.84,$5224.50
1467,2019,CAMDEN,CLEMENTON BORO,08021,RESIDENTIAL,408,$28560.29,$74861.76,$103089.71,$4418.50
1471,2019,CAMDEN,COLLINGSWOOD BORO, 08107,RESIDENTIAL,409,$73163.08,$148940.10,$221685.09,$7705.82
1472,2019,CAMDEN,COLLINGSWOOD BORO, 08108,RESIDENTIAL,1900,$79015.47,$157755.53,$235991.74,$8183.89
1474,2019,CAMDEN,COLLINGSWOOD BORO,08108,RESIDENTIAL,853,$69820.40,$135798.24,$205218.99,$7117.94
1475,2019,CAMDEN,GIBBSBORO BORO, 08026,RESIDENTIAL,540,$67946.11,$154805.00,$222751.11,$7964.76
1478,2019,CAMDEN,GIBBSBORO BORO,08026,RESIDENTIAL,173,$70884.39,$167073.41,$237957.80,$8534.27
1479,2019,CAMDEN,GLOUCESTER CITY, 08030,RESIDENTIAL,2361,$31327.74,$87136.02,$118203.49,$5064.06
1482,2019,CAMDEN,GLOUCESTER CITY,08030,RESIDENTIAL,1280,$20707.42,$66226.02,$86676.88,$3751.45
1486,2019,CAMDEN,GLOUCESTER TWP, 08012,RESIDENTIAL,4645,$54841.72,$134008.12,$188836.60,$7433.45
1487,2019,CAMDEN,GLOUCESTER TWP, 08021,RESIDENTIAL,2361,$48560.95,$128167.43,$176704.96,$6965.97
1489,2019,CAMDEN,GLOUCESTER TWP, 08029,RESIDENTIAL,1003,$55229.11,$123100.10,$178299.30,$6893.94
1494,2019,CAMDEN,GLOUCESTER TWP, 08049,RESIDENTIAL,233,$61172.10,$122604.72,$183776.82,$7089.26
1500,2019,CAMDEN,GLOUCESTER TWP, 08081,RESIDENTIAL,6000,$56844.13,$150157.60,$206988.73,$8188.64
1501,2019,CAMDEN,GLOUCESTER TWP, 08083,RESIDENTIAL,862,$61073.32,$167872.27,$228909.98,$8994.14
1510,2019,CAMDEN,GLOUCESTER TWP,08030,RESIDENTIAL,3297,$46057.48,$104274.95,$150326.27,$5900.25
1517,2019,CAMDEN,HADDON HEIGHTS BORO, 08035,RESIDENTIAL,1626,$122443.85,$171208.55,$293652.40,$9455.63
1518,2019,CAMDEN,HADDON HEIGHTS BORO,08035,RESIDENTIAL,505,$111965.35,$150834.85,$262800.20,$8461.57
1523,2019,CAMDEN,HADDON TWP, 08033,RESIDENTIAL,700,$93174.29,$179445.43,$272278.00,$10273.85
1525,2019,CAMDEN,HADDON TWP, 08059,RESIDENTIAL,314,$62723.25,$118286.62,$181009.87,$6864.83
1528,2019,CAMDEN,HADDON TWP, 08107,RESIDENTIAL,711,$67670.46,$132369.20,$199894.66,$7285.35
1529,2019,CAMDEN,HADDON TWP, 08108,RESIDENTIAL,2198,$79893.54,$152194.09,$231925.07,$8752.01
1532,2019,CAMDEN,HADDON TWP,08035,RESIDENTIAL,625,$74004.80,$135198.56,$208967.36,$7828.80
1537,2019,CAMDEN,HADDONFIELD BORO, 08033,RESIDENTIAL,3456,$263392.16,$261178.30,$524570.46,$16076.92
1538,2019,CAMDEN,HADDONFIELD BORO,08033,RESIDENTIAL,625,$191881.44,$167925.60,$359807.04,$11076.21
1545,2019,CAMDEN,LAUREL SPRINGS BORO, 08021,RESIDENTIAL,362,$38203.59,$127649.72,$165815.75,$8434.03
1548,2019,CAMDEN,LAUREL SPRINGS BORO,08332,RESIDENTIAL,109,$36710.09,$111241.28,$147951.38,$7528.80
1552,2019,CAMDEN,LAWNSIDE BORO, 08045,RESIDENTIAL,547,$37326.33,$106758.14,$144084.46,$5855.16
1555,2019,CAMDEN,LAWNSIDE BORO,08045,RESIDENTIAL,329,$36815.50,$90087.23,$126902.74,$5188.27
1556,2019,CAMDEN,LINDENWOLD BORO, 08021,RESIDENTIAL,2779,$34424.15,$75721.55,$109918.03,$5577.98
1557,2019,CAMDEN,LINDENWOLD BORO,07036,RESIDENTIAL,1305,$21143.98,$45105.21,$66202.45,$3385.72
1558,2019,CAMDEN,MAGNOLIA BORO, 08049,RESIDENTIAL,780,$44233.97,$104645.51,$148817.95,$6301.59
1562,2019,CAMDEN,MAGNOLIA BORO,08049,RESIDENTIAL,390,$42891.79,$102471.28,$145234.87,$6154.14
1564,2019,CAMDEN,MERCHANTVILLE BORO, 08109,RESIDENTIAL,640,$56311.25,$130693.59,$186462.03,$8262.59
1566,2019,CAMDEN,MERCHANTVILLE BORO,08109,RESIDENTIAL,226,$52739.38,$108871.24,$160973.89,$7141.44
1568,2019,CAMDEN,MOUNT EPHRAIM BORO, 08059,RESIDENTIAL,1329,$38858.92,$107204.67,$145956.73,$6694.10
1571,2019,CAMDEN,MOUNT EPHRAIM BORO,08059,RESIDENTIAL,277,$38987.73,$101776.90,$140764.62,$6485.32
1576,2019,CAMDEN,OAKLYN BORO, 08107,RESIDENTIAL,856,$49224.77,$114342.99,$163540.77,$7251.38
1578,2019,CAMDEN,OAKLYN BORO,08107,RESIDENTIAL,235,$49168.51,$111133.19,$160301.70,$7154.60
1587,2019,CAMDEN,PENNSAUKEN TWP, 08109,RESIDENTIAL,4915,$46468.14,$111958.01,$158014.61,$5955.45
1588,2019,CAMDEN,PENNSAUKEN TWP, 08110,RESIDENTIAL,4104,$36602.02,$88877.95,$125166.08,$4713.22
1592,2019,CAMDEN,PENNSAUKEN TWP,08110,RESIDENTIAL,1946,$37375.28,$89673.02,$126677.70,$4797.86
1594,2019,CAMDEN,PINE HILL BORO, 08009,RESIDENTIAL,199,$22532.16,$101688.94,$122683.92,$6657.58
1595,2019,CAMDEN,PINE HILL BORO, 08021,RESIDENTIAL,1155,$21347.79,$96796.19,$117168.40,$6351.34
1601,2019,CAMDEN,PINE HILL BORO,08083,RESIDENTIAL,765,$20314.51,$84564.31,$104273.20,$5675.86
1613,2019,CAMDEN,RUNNEMEDE BORO, 08078,RESIDENTIAL,1447,$45524.40,$103447.62,$148972.01,$5829.62
1616,2019,CAMDEN,RUNNEMEDE BORO,08078,RESIDENTIAL,509,$45511.79,$95584.87,$141096.66,$5525.70
1623,2019,CAMDEN,SOMERDALE BORO, 08083,RESIDENTIAL,998,$38867.84,$104351.30,$143060.92,$6020.42
1625,2019,CAMDEN,SOMERDALE BORO,08083,RESIDENTIAL,408,$40831.13,$91105.39,$131872.55,$5650.25
1632,2019,CAMDEN,STRATFORD BORO, 08084,RESIDENTIAL,1154,$40231.20,$117189.17,$157233.62,$6714.03
1634,2019,CAMDEN,STRATFORD BORO,08084,RESIDENTIAL,300,$37887.67,$105096.67,$142984.33,$6115.77
1641,2019,CAMDEN,VOORHEES TWP, 08043,RESIDENTIAL,7224,$83384.70,$190933.33,$274289.32,$10739.83
1646,2019,CAMDEN,VOORHEES TWP,08043,RESIDENTIAL,1448,$63053.73,$119393.30,$182445.23,$7180.85
1648,2019,CAMDEN,WATERFORD TWP, 08004,RESIDENTIAL,2591,$44262.79,$131726.13,$175988.92,$7012.13
1653,2019,CAMDEN,WATERFORD TWP, 08089,RESIDENTIAL,343,$50375.51,$138363.85,$188739.36,$7517.28
1655,2019,CAMDEN,WATERFORD TWP,08089,RESIDENTIAL,604,$43787.25,$110908.11,$154695.36,$6174.43
1656,2019,CAMDEN,WINSLOW TWP, 08004,RESIDENTIAL,808,$39258.04,$122737.00,$161964.11,$5692.68
1657,2019,CAMDEN,WINSLOW TWP, 08009,RESIDENTIAL,1279,$47653.17,$160544.72,$208174.35,$7328.08
1660,2019,CAMDEN,WINSLOW TWP, 08037,RESIDENTIAL,1137,$41980.47,$138151.45,$180131.93,$6323.70
1664,2019,CAMDEN,WINSLOW TWP, 08081,RESIDENTIAL,6176,$43208.74,$140704.94,$183909.83,$6486.58
1668,2019,CAMDEN,WINSLOW TWP, 08089,RESIDENTIAL,316,$43918.67,$141480.06,$185398.73,$6507.37
1671,2019,CAMDEN,WINSLOW TWP,08095,RESIDENTIAL,3163,$37170.82,$108369.40,$145502.88,$5134.75
1674,2019,CAMDEN,WOODLYNNE BORO, 08107,RESIDENTIAL,403,$19717.37,$51303.47,$71020.84,$5492.88
1676,2019,CAMDEN,WOODLYNNE BORO,07075,RESIDENTIAL,395,$17445.32,$46958.23,$64403.54,$4993.65
1677,2019,CAPE MAY,AVALON BORO, 08202,RESIDENTIAL,343,$1156197.08,$348192.71,$1504389.80,$7296.38
1680,2019,CAPE MAY,AVALON BORO,08202,RESIDENTIAL,5084,$1158467.23,$441033.67,$1599500.90,$7753.44
1681,2019,CAPE MAY,CAPE MAY CITY, 08204,RESIDENTIAL,577,$430916.12,$233913.86,$664829.98,$6143.56
1684,2019,CAPE MAY,CAPE MAY CITY,08204,RESIDENTIAL,2848,$421703.65,$223692.42,$645396.07,$5995.48
1686,2019,CAPE MAY,CAPE MAY POINT BORO,08204,RESIDENTIAL,609,$501620.53,$196094.58,$697715.11,$4109.63
1687,2019,CAPE MAY,DENNIS TWP, 08210,RESIDENTIAL,941,$101892.35,$158064.93,$259957.28,$4472.56
1689,2019,CAPE MAY,DENNIS TWP, 08230,RESIDENTIAL,144,$95907.64,$143229.86,$239137.50,$4071.92
1692,2019,CAPE MAY,DENNIS TWP, 08270,RESIDENTIAL,472,$85886.23,$139558.26,$225444.49,$3999.43
1695,2019,CAPE MAY,DENNIS TWP,08214,RESIDENTIAL,1923,$69373.01,$63885.39,$133258.40,$2307.33
1697,2019,CAPE MAY,LOWER TWP, 08204,RESIDENTIAL,3828,$123441.04,$128795.27,$252236.31,$4391.25
1699,2019,CAPE MAY,LOWER TWP, 08251,RESIDENTIAL,2531,$94243.18,$78514.50,$172757.68,$2990.37
1700,2019,CAPE MAY,LOWER TWP, 08260,RESIDENTIAL,113,$197162.83,$210737.17,$407900.00,$7141.42
1701,2019,CAPE MAY,LOWER TWP,08215,RESIDENTIAL,7745,$126189.89,$111231.52,$237421.41,$4170.54
1704,2019,CAPE MAY,MIDDLE TWP, 08204,RESIDENTIAL,107,$114214.02,$84186.92,$198400.93,$3807.35
1705,2019,CAPE MAY,MIDDLE TWP, 08210,RESIDENTIAL,3608,$135777.63,$142654.71,$278432.34,$5100.74
1707,2019,CAPE MAY,MIDDLE TWP, 08242,RESIDENTIAL,855,$102980.58,$114475.67,$217456.26,$3991.47
1709,2019,CAPE MAY,MIDDLE TWP, 08251,RESIDENTIAL,378,$106871.16,$86415.87,$193287.04,$3699.28
1711,2019,CAPE MAY,MIDDLE TWP,08210,RESIDENTIAL,3527,$126572.75,$90667.93,$217240.69,$4023.42
1712,2019,CAPE MAY,NORTH WILDWOOD CITY, 08260,RESIDENTIAL,1076,$208657.81,$165755.39,$374413.20,$4685.41
1713,2019,CAPE MAY,NORTH WILDWOOD CITY,08260,RESIDENTIAL,6514,$160879.18,$133924.04,$294803.22,$3718.44
1714,2019,CAPE MAY,OCEAN CITY CITY, 08226,RESIDENTIAL,2267,$407985.22,$240149.89,$648135.11,$6155.37
1715,2019,CAPE MAY,OCEAN CITY CITY,08226,RESIDENTIAL,15939,$364720.08,$235770.22,$600490.31,$5706.17
1717,2019,CAPE MAY,SEA ISLE CITY CITY, 08243,RESIDENTIAL,669,$504160.54,$218320.33,$722480.87,$5092.90
1719,2019,CAPE MAY,SEA ISLE CITY CITY,08243,RESIDENTIAL,5916,$444884.03,$219702.21,$664586.24,$4716.17
1720,2019,CAPE MAY,STONE HARBOR BORO, 08247,RESIDENTIAL,257,$1279319.84,$277685.99,$1557005.84,$8578.77
1721,2019,CAPE MAY,STONE HARBOR BORO,08247,RESIDENTIAL,2637,$1249409.86,$333411.00,$1582820.86,$8754.50
1723,2019,CAPE MAY,UPPER TWP, 08223,RESIDENTIAL,1192,$127073.99,$165631.54,$292705.54,$5367.42
1725,2019,CAPE MAY,UPPER TWP, 08230,RESIDENTIAL,1438,$119714.67,$183102.50,$302817.18,$5606.26
1731,2019,CAPE MAY,UPPER TWP, 08270,RESIDENTIAL,771,$101293.77,$162448.12,$263741.89,$5044.22
1732,2019,CAPE MAY,UPPER TWP,07458,RESIDENTIAL,2185,$151232.72,$109274.97,$260507.69,$4764.59
1734,2019,CAPE MAY,WEST CAPE MAY BORO, 08204,RESIDENTIAL,246,$269596.75,$205777.64,$475374.39,$5897.38
1736,2019,CAPE MAY,WEST CAPE MAY BORO,08204,RESIDENTIAL,687,$269823.29,$178948.18,$448771.47,$5559.82
1737,2019,CAPE MAY,WEST WILDWOOD BORO, 08260,RESIDENTIAL,150,$101496.67,$167447.33,$268944.00,$4823.10
1738,2019,CAPE MAY,WEST WILDWOOD BORO,08260,RESIDENTIAL,644,$92868.01,$144994.57,$237862.58,$4306.27
1739,2019,CAPE MAY,WILDWOOD CITY, 08260,RESIDENTIAL,584,$107691.27,$115963.01,$222497.09,$5483.18
1740,2019,CAPE MAY,WILDWOOD CITY,08260,RESIDENTIAL,3831,$94055.05,$108563.56,$201955.08,$5038.74
1741,2019,CAPE MAY,WILDWOOD CREST BORO, 08260,RESIDENTIAL,813,$291725.71,$153169.00,$444894.71,$5544.04
1742,2019,CAPE MAY,WILDWOOD CREST BORO,08260,RESIDENTIAL,4235,$239148.00,$130619.34,$369767.34,$4624.07
1744,2019,CAPE MAY,WOODBINE BORO, 08270,RESIDENTIAL,289,$79911.76,$130654.67,$210566.44,$3298.74
1745,2019,CAPE MAY,WOODBINE BORO,08270,RESIDENTIAL,795,$49280.88,$38243.52,$87524.40,$1379.79
1746,2019,CUMBERLAND,BRIDGETON CITY, 08302,RESIDENTIAL,1695,$10469.97,$72814.81,$82628.50,$3795.65
1747,2019,CUMBERLAND,BRIDGETON CITY,08302,RESIDENTIAL,2633,$6380.14,$54363.84,$60576.79,$2815.05
1752,2019,CUMBERLAND,COMMERCIAL TWP, 08332,RESIDENTIAL,469,$35717.70,$73732.84,$109450.53,$2827.28
1756,2019,CUMBERLAND,COMMERCIAL TWP, 08349,RESIDENTIAL,199,$38629.15,$97928.64,$136557.79,$3509.09
1759,2019,CUMBERLAND,COMMERCIAL TWP,08349,RESIDENTIAL,1162,$33893.89,$69536.57,$103430.46,$2705.88
1763,2019,CUMBERLAND,DEERFIELD TWP, 08302,RESIDENTIAL,447,$40528.19,$105626.62,$146154.81,$4938.03
1764,2019,CUMBERLAND,DEERFIELD TWP, 08332,RESIDENTIAL,163,$42317.79,$113770.55,$156088.34,$5283.88
1766,2019,CUMBERLAND,DEERFIELD TWP,08313,RESIDENTIAL,347,$35777.81,$88715.56,$124493.37,$4221.00
1769,2019,CUMBERLAND,DOWNE TWP, 08345,RESIDENTIAL,194,$48715.98,$110737.63,$159453.61,$3769.78
1771,2019,CUMBERLAND,DOWNE TWP,08345,RESIDENTIAL,679,$77025.04,$70411.34,$147436.38,$3545.91
1772,2019,CUMBERLAND,FAIRFIELD TWP, 08302,RESIDENTIAL,970,$45428.97,$120364.12,$165793.09,$4082.34
1776,2019,CUMBERLAND,FAIRFIELD TWP, 08332,RESIDENTIAL,136,$40248.53,$111074.26,$151322.79,$3739.05
1777,2019,CUMBERLAND,FAIRFIELD TWP,07004,RESIDENTIAL,476,$47371.85,$97046.22,$144418.07,$3589.17
1779,2019,CUMBERLAND,GREENWICH TWP, 08323,RESIDENTIAL,122,$48669.67,$141039.34,$189709.02,$6603.34
1781,2019,CUMBERLAND,GREENWICH TWP,08323,RESIDENTIAL,129,$45297.67,$125400.78,$170698.45,$5890.33
1782,2019,CUMBERLAND,HOPEWELL TWP, 08302,RESIDENTIAL,686,$35910.64,$123023.91,$158934.55,$5120.16
1783,2019,CUMBERLAND,HOPEWELL TWP,08525,RESIDENTIAL,266,$35974.44,$103841.35,$139815.79,$4526.90
1785,2019,CUMBERLAND,LAWRENCE TWP, 08311,RESIDENTIAL,395,$41821.01,$141594.18,$183415.19,$4915.29
1786,2019,CUMBERLAND,LAWRENCE TWP, 08332,RESIDENTIAL,325,$40449.23,$145592.31,$186041.54,$5002.48
1790,2019,CUMBERLAND,LAWRENCE TWP,08648,RESIDENTIAL,328,$38210.37,$102985.98,$141196.34,$3790.51
1797,2019,CUMBERLAND,MAURICE RIVER TWP, 08332,RESIDENTIAL,219,$54341.10,$135484.02,$189825.11,$5192.92
1800,2019,CUMBERLAND,MAURICE RIVER TWP,07661,RESIDENTIAL,887,$49122.21,$113397.75,$162519.95,$4504.52
1808,2019,CUMBERLAND,MILLVILLE CITY, 08332,RESIDENTIAL,3406,$35148.91,$113054.76,$148203.67,$4963.46
1811,2019,CUMBERLAND,MILLVILLE CITY,08332,RESIDENTIAL,3964,$24226.72,$76592.71,$100819.42,$3386.96
